date,crude_oil_avg,coal_australia,natural_gas_us,fertiliser_urea,phosphate_rock
2005-04-10,47.384841824839235,51.92307692307692,6.386730769232308,251.4,44.0
2005-04-17,47.53208550708282,51.719551282051285,6.414259906761539,252.93333333333334,44.0
2005-04-24,47.67932918932641,51.51602564102564,6.441789044290769,254.46666666666667,44.0
2005-05-01,47.82657287157,51.3125,6.46931818182,256.0,44.0
2005-05-08,48.24458620902629,51.080357142857146,6.5319350649368575,254.46571428571428,44.0
2005-05-15,48.662599546482575,50.848214285714285,6.594551948053715,252.93142857142857,44.0
2005-05-22,49.080612883938855,50.61607142857143,6.657168831170572,251.39714285714285,44.0
2005-05-29,49.49862622139514,50.38392857142857,6.719785714287429,249.86285714285714,44.0
2005-06-05,49.91663955885143,50.151785714285715,6.782402597404286,248.32857142857142,44.0
2005-06-12,50.334652896307716,49.919642857142854,6.8450194805211435,246.7942857142857,44.0
2005-06-19,50.752666233764,49.6875,6.907636363638,245.26,44.0
2005-06-26,51.17067957122028,49.455357142857146,6.970253246754857,243.72571428571428,44.0
2005-07-03,51.58869290867657,49.223214285714285,7.032870129871714,242.19142857142856,44.0
2005-07-10,52.00670624613286,48.99107142857143,7.095487012988571,240.65714285714287,44.0
2005-07-17,52.424719583589145,48.75892857142857,7.158103896105429,239.12285714285716,44.0
2005-07-24,52.84273292104543,48.526785714285715,7.220720779222286,237.58857142857144,44.0
2005-07-31,53.26074625850171,48.294642857142854,7.283337662339143,236.05428571428573,44.0
2005-08-07,53.678759595958,48.0625,7.345954545456,234.52,44.0
2005-08-14,54.096772933414286,47.830357142857146,7.408571428572857,232.9857142857143,44.0
2005-08-21,54.51478627087057,47.598214285714285,7.471188311689715,231.45142857142858,44.0
2005-08-28,54.93279960832686,47.36607142857143,7.533805194806572,229.91714285714286,44.0
2005-09-04,55.35081294578314,47.13392857142857,7.596422077923429,228.38285714285715,44.0
2005-09-11,55.76882628323943,46.901785714285715,7.659038961040286,226.84857142857143,44.0
2005-09-18,56.186839620695714,46.669642857142854,7.721655844157143,225.31428571428572,44.0
2005-09-25,56.604852958152,46.4375,7.784272727274,223.78,44.0
2005-10-02,57.02286629560829,46.205357142857146,7.846889610390857,222.24571428571429,44.0
2005-10-09,57.44087963306457,45.973214285714285,7.909506493507714,220.71142857142857,44.0
2005-10-16,57.858892970520856,45.74107142857143,7.972123376624571,219.17714285714285,44.0
2005-10-23,58.27690630797714,45.50892857142857,8.03474025974143,217.64285714285714,44.0
2005-10-30,58.69491964543343,45.276785714285715,8.097357142858286,216.10857142857142,44.0
2005-11-06,59.11293298288972,45.044642857142854,8.159974025975142,214.5742857142857,44.0
2005-11-13,59.530946320346,44.8125,8.222590909092,213.04000000000002,44.0
2005-11-20,59.948959657802284,44.580357142857146,8.285207792208857,211.5057142857143,44.0
2005-11-27,60.36697299525857,44.348214285714285,8.347824675325715,209.9714285714286,44.0
2005-12-04,60.78498633271486,44.11607142857143,8.410441558442571,208.43714285714287,44.0
2005-12-11,61.20299967017114,43.88392857142857,8.473058441559429,206.90285714285716,44.0
2005-12-18,61.621013007627425,43.651785714285715,8.535675324676285,205.36857142857144,44.0
2005-12-25,62.03902634508371,43.419642857142854,8.598292207793143,203.83428571428573,44.0
2006-01-01,62.45703968254,43.1875,8.66090909091,202.3,44.0
2006-01-08,62.340460946461285,43.20961538461538,8.59171911422,202.4769230769231,44.0
2006-01-15,62.22388221038256,43.23173076923077,8.52252913753,202.65384615384616,44.0
2006-01-22,62.10730347430385,43.253846153846155,8.45333916084,202.83076923076925,44.0
2006-01-29,61.990724738225126,43.27596153846154,8.384149184149999,203.0076923076923,44.0
2006-02-05,61.87414600214641,43.29807692307692,8.31495920746,203.1846153846154,44.0
2006-02-12,61.757567266067696,43.32019230769231,8.24576923077,203.36153846153846,44.0
2006-02-19,61.640988529988974,43.34230769230769,8.17657925408,203.53846153846155,44.0
2006-02-26,61.52440979391026,43.364423076923075,8.10738927739,203.71538461538464,44.0
2006-03-05,61.40783105783154,43.386538461538464,8.0381993007,203.8923076923077,44.0
2006-03-12,61.29125232175282,43.40865384615385,7.96900932401,204.06923076923078,44.0
2006-03-19,61.1746735856741,43.43076923076923,7.89981934732,204.24615384615385,44.0
2006-03-26,61.058094849595385,43.45288461538461,7.83062937063,204.42307692307693,44.0
2006-04-02,60.94151611351667,43.475,7.76143939394,204.6,44.0
2006-04-09,60.82493737743795,43.497115384615384,7.69224941725,204.77692307692308,44.0
2006-04-16,60.70835864135923,43.51923076923077,7.62305944056,204.95384615384614,44.0
2006-04-23,60.59177990528051,43.541346153846156,7.55386946387,205.13076923076923,44.0
2006-04-30,60.475201169201796,43.56346153846154,7.48467948718,205.30769230769232,44.0
2006-05-07,60.35862243312308,43.58557692307692,7.41548951049,205.48461538461538,44.0
2006-05-14,60.24204369704436,43.607692307692304,7.3462995338,205.66153846153847,44.0
2006-05-21,60.125464960965644,43.62980769230769,7.27710955711,205.83846153846153,44.0
2006-05-28,60.00888622488692,43.651923076923076,7.20791958042,206.01538461538462,44.0
2006-06-04,59.89230748880821,43.67403846153846,7.13872960373,206.19230769230768,44.0
2006-06-11,59.77572875272949,43.69615384615384,7.06953962704,206.36923076923077,44.0
2006-06-18,59.65915001665077,43.71826923076923,7.00034965035,206.54615384615386,44.0
2006-06-25,59.542571280572055,43.74038461538461,6.93115967366,206.72307692307692,44.0
2006-07-02,59.42599254449333,43.762499999999996,6.86196969697,206.9,44.0
2006-07-09,59.30941380841462,43.784615384615385,6.79277972028,207.07692307692307,44.0
2006-07-16,59.1928350723359,43.80673076923077,6.72358974359,207.25384615384615,44.0
2006-07-23,59.07625633625718,43.82884615384615,6.6543997669,207.43076923076922,44.0
2006-07-30,58.959677600178466,43.85096153846153,6.58520979021,207.6076923076923,44.0
2006-08-06,58.843098864099744,43.87307692307692,6.51601981352,207.78461538461536,44.0
2006-08-13,58.72652012802103,43.895192307692305,6.44682983683,207.96153846153845,44.0
2006-08-20,58.60994139194231,43.91730769230769,6.37763986014,208.13846153846154,44.0
2006-08-27,58.49336265586359,43.93942307692308,6.30844988345,208.3153846153846,44.0
2006-09-03,58.37678391978488,43.96153846153846,6.23925990676,208.4923076923077,44.0
2006-09-10,58.260205183706155,43.98365384615384,6.17006993007,208.66923076923075,44.0
2006-09-17,58.14362644762744,44.005769230769225,6.10087995338,208.84615384615384,44.0
2006-09-24,58.02704771154872,44.027884615384615,6.03168997669,209.0230769230769,44.0
2006-10-01,57.91046897547,44.05,5.9625,209.2,44.0
2006-10-08,58.18536018221654,44.514230769230764,6.024995421245385,212.34615384615384,44.0
2006-10-15,58.46025138896308,44.97846153846154,6.087490842490769,215.4923076923077,44.0
2006-10-22,58.73514259570962,45.442692307692305,6.149986263736154,218.63846153846154,44.0
